item_id,calories,fat_grams,sodium_grams,carbohydrates_grams,fibre_grams,sugar_grams,protein_grams
426,50,1.5,30,8,0,4,1
427,90,4.5,70,12,1,6,1
428,50,1.5,40,7,0,3,1
429,420,17,400,64,2,36,6
430,360,12,490,59,2,30,5
431,380,12,590,57,2,26,6
432,380,13,500,60,5,30,6
433,360,13,480,55,2,28,6
434,340,10,790,60,9,20,6
435,390,15,520,58,2,31,6
436,220,9,240,31,1,16,2
437,260,15,230,25,1,15,5
438,320,16,250,38,2,24,4
439,380,20,320,45,1,30,5
440,360,18,230,47,1,30,4
441,260,13,240,30,1,3,6
442,290,14,280,30,1,3,7
443,350,17,120,43,0,18,6
444,410,13,450,65,3,28,8
445,250,11,610,31,1,4,8
446,250,8,500,40,2,12,5
447,310,3.5,510,60,2,7,9
448,330,5,580,58,2,4,11
449,320,4.5,710,59,3,4,11
450,100,9,190,3,0,2,2
451,100,7,120,6,0,6,2
452,60,7,55,0,0,0,0
453,60,0,0,14,0,14,0
454,60,0,0,14,0,14,0
455,110,9,75,4,0,1,3
456,530,35,900,34,2,4,20
457,410,22,930,33,1,3,18
458,350,18,720,33,1,3,14
459,510,27,1290,35,2,5,25
460,450,30,850,33,3,2,13
461,450,29,680,28,2,3,19
462,330,16,710,27,1,3,17
463,270,12,500,27,1,3,14
464,600,28,820,65,3,10,23
465,480,16,850,64,3,10,22
466,620,31,840,65,4,11,25
467,500,18,870,64,4,11,23
468,600,29,830,63,4,9,24
469,480,16,860,62,4,9,23
470,630,33,900,60,9,10,26
471,510,21,940,59,8,10,24
472,490,16,860,66,3,11,22
473,510,15,880,66,5,12,23
474,490,17,860,64,4,10,23
475,520,21,940,61,9,11,24
476,530,34,720,35,3,3,20
477,400,21,750,34,2,3,18
478,580,38,930,35,3,3,23
479,640,40,940,50,4,4,21
480,520,27,970,49,4,4,19
481,120,6,220,15,1,1,1
482,250,7,115,40,3,25,8
483,520,37,650,27,2,3,20
484,400,25,650,26,1,3,18
485,340,20,440,25,1,3,14
486,340,16,780,32,1,7,17
487,500,16,950,69,4,14,23
488,550,23,1440,60,3,6,27
489,490,21,940,59,4,6,16
490,520,20,1330,60,3,7,25
491,560,21,1260,62,3,8,27
492,470,19,960,55,3,1,21
493,460,20,1060,41,2,2,21
494,420,19,900,36,2,4,27
495,530,26,1010,54,4,4,24
496,380,17,660,36,2,3,24
497,490,24,770,53,4,3,20
498,540,24,1000,54,4,4,25
499,650,31,1110,71,5,4,21
500,530,22,980,70,6,5,9
501,510,22,1040,51,4,4,25
502,620,29,1160,69,5,4,21
503,500,21,1020,68,6,5,9
504,520,21,1210,56,5,5,26
505,680,33,1290,74,7,4,21
506,560,24,1150,73,7,5,9
507,540,24,1210,54,6,4,24
508,650,31,1330,72,7,4,21
509,530,22,1190,71,7,5,9
510,550,22,1390,59,6,5,26
511,500,21,1380,51,3,3,27
512,600,29,1730,51,3,4,33
513,550,25,1560,50,3,3,33
514,550,25,1620,50,3,4,33
515,140,3,710,20,1,2,9
516,190,3.5,960,28,2,2,10
517,100,3.5,650,15,2,6,5
518,150,5,910,21,3,9,6
519,100,1.5,590,20,6,6,5
520,140,2.5,820,28,8,9,6
521,150,7,740,17,3,6,5
522,210,10,1040,24,4,9,7
523,170,8,740,19,1,4,6
524,240,12,1030,26,1,5,8
525,220,11,820,25,2,5,6
526,310,15,1150,35,2,6,9
527,150,5,750,20,1,5,7
528,210,7,1050,27,2,6,10
529,310,16,910,22,4,7,19
530,430,22,1270,31,6,10,27
531,380,16,850,58,5,3,5
532,210,4.5,400,37,1,1,6
533,680,34,1280,73,5,7,21
534,700,35,1450,76,7,7,21
